Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
Respira,2014,Francia,"6,9",1.644,Mélanie Laurent,"Joséphine Japy, Lou de Laâge, Isabelle Carré, Claire Keim, Radivoje Bukvic, Roxane Duran, Thomas Solivéres, Camille Claris",https://www.filmaffinity.com/es/film124732.html
Queridos camaradas,2020,Rusia,"6,9",1.743,Andrei Konchalovsky,"Yuliya Vysotskaya, Vladislav Komarov, Alexander Maskelyne, Andrei Gusev, Yulia Burova, Sergei Erlish",https://www.filmaffinity.com/es/film391779.html
Una joven prometedora,2020,Reino Unido,"6,9",18.892,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Connie Britton, Jennifer Coolidge, Adam Brody, Laverne Cox, Clancy Brown",https://www.filmaffinity.com/es/film552637.html
Gravity,2013,Estados Unidos,"6,9",89.893,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris",https://www.filmaffinity.com/es/film883807.html
El malvado zorro feroz,2017,Francia,"6,9",1.653,"Benjamin Renner, Patrick Imbert",,https://www.filmaffinity.com/es/film714535.html
En los 90,2018,Estados Unidos,"6,9",4.594,Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges, Alexa Demie, Na-kel Smith, Olan Prenatt, Gio Galicia, Ryder McLaughlin",https://www.filmaffinity.com/es/film735937.html
Ida,2013,Polonia,"6,9",16.863,Pawel Pawlikowski,"Agata Kulesza, Agata Trzebuchowska, Joanna Kulig, Dawid Ogrodnik, Jerzy Trela, Adam Szyszkowski, Artur Janusiak, Halina Skoczynska, Mariusz Jakus",https://www.filmaffinity.com/es/film313764.html
Guardianes de la galaxia,2014,Estados Unidos,"6,9",62.103,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Bradley Cooper, Vin Diesel, Lee Pace, Michael Rooker, Karen Gillan",https://www.filmaffinity.com/es/film316972.html
Columbus,2017,Estados Unidos,"6,9",2.810,Kogonada,"John Cho, Haley Lu Richardson, Parker Posey, Michelle Forbes, Rory Culkin, Jim Dougherty, William Willet, Wynn Reichert",https://www.filmaffinity.com/es/film495771.html
New World,2013,Corea del Sur,"6,9",3.640,Park Hoon-jung,"Lee Jung-jae, Choi Min-sik, Hwang Jung-min, Jang Gwang, Song Ji-hyo, Park Sung-woong, Park Sang-gyu, Kim Yoon-seong",https://www.filmaffinity.com/es/film127523.html
El niño que domó el viento,2019,Reino Unido,"6,9",6.141,Chiwetel Ejiofor,"Chiwetel Ejiofor, Maxwell Simba, Joseph Marcell, Aïssa Maiga, Noma Dumezweni, Lemogang Tsipa, Kelvin Maxwell Ngoma, Lily Banda, Beatus Ble Msamange",https://www.filmaffinity.com/es/film432987.html
La Liga de la Justicia de Zack Snyder,2021,Estados Unidos,"6,9",16.670,Zack Snyder,"Ben Affleck, Gal Gadot, Ezra Miller, Jason Momoa, Ray Fisher, Henry Cavill, Amy Adams, Joe Morton",https://www.filmaffinity.com/es/film727076.html
Reina de corazones,2019,Dinamarca,"6,9",2.194,May el-Toukhy,"Trine Dyrholm, Gustav Lindh, Magnus Krepper, Frederikke Dahl Hansen, Diêm Camille G., Preben Kristensen, Mads Wille, Elias Budde Christensen",https://www.filmaffinity.com/es/film115292.html
El viaje de Nisha,2017,Noruega,"6,9",2.397,Iram Haq,"Maria Mozhdah, Adil Hussain, Ekavali Khanna, Rohit Saraf, Ali Arfan, Sheeba Chaddha, Jannat Zubair Rahmani, Lalit Parimoo",https://www.filmaffinity.com/es/film835250.html
El pasado,2013,Francia,"6,9",5.491,Asghar Farhadi,"Bérénice Bejo, Tahar Rahim, Babak Karimi, Ali Mosaffa, Pauline Burlet, Elyes Aguis, Jeanne Jestin, Sabrina Ouazani, Valeria Cavalli",https://www.filmaffinity.com/es/film940946.html
Drive My Car,2021,Japón,"6,9",9.768,Ryûsuke Hamaguchi,"Hidetoshi Nishijima, Tôko Miura, Reika Kirishima, Park Yu-rim, Sonia Yuan, Satoko Abe, Masaki Okada, Perry Dizon",https://www.filmaffinity.com/es/film281888.html
Anomalisa,2015,Estados Unidos,"6,9",11.915,"Charlie Kaufman, Duke Johnson",,https://www.filmaffinity.com/es/film980148.html
La familia Bélier,2014,Francia,"6,9",16.489,Éric Lartigau,"Louane Emera, Karin Viard, François Damiens, Luca Gelberg, Roxane Duran, Eric Elmosnino, Ilian Bergala, Clémence Lassalas",https://www.filmaffinity.com/es/film406924.html
Luca,2021,Estados Unidos,"6,9",18.305,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph, Sacha Baron Cohen",https://www.filmaffinity.com/es/film775531.html
Figuras ocultas,2016,Estados Unidos,"6,9",18.350,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Jim Parsons, Mahershala Ali, Kirsten Dunst, Glen Powell",https://www.filmaffinity.com/es/film947523.html
Campeones,2018,España,"6,9",36.709,Javier Fesser,"Javier Gutiérrez, Jesús Vidal, Fran Fuentes, Gloria Ramos, Juan Margallo, José de Luna, Sergio Olmo, Athenea Mata",https://www.filmaffinity.com/es/film206800.html
Cerca de ti,2020,Reino Unido,"6,9",1.496,Uberto Pasolini,"James Norton, Daniel Lamont, Eileen O'Higgins, Chris Corrigan, Valene Kane, Louise Mathews, Keith McErlean, Eddie Mohan, Rhoda Ofori-Attah",https://www.filmaffinity.com/es/film905940.html
Después del amor,2020,Reino Unido,"6,9",1.668,Aleem Khan,"Joanna Scanlan, Nathalie Richard, Talid Ariss, Nasser Memarzia, David Hecter, Sudha Bhuchar, Nisha Chadha, Jabeen Butt",https://www.filmaffinity.com/es/film383441.html
Victoria,2015,Alemania,"6,9",6.413,Sebastian Schipper,"Laia Costa, Frederick Lau, Franz Rogowski, Maximilian Mauff, Burak Yigit, Nadja Laura Mijthab",https://www.filmaffinity.com/es/film773475.html
Los hermanos Sisters,2018,Francia,"6,9",13.556,Jacques Audiard,"Joaquin Phoenix, John C. Reilly, Jake Gyllenhaal, Riz Ahmed, Allison Tolman, Rebecca Root, Jóhannes Haukur Jóhannesson, Ian Reddington",https://www.filmaffinity.com/es/film111769.html
Sicario,2015,Estados Unidos,"6,9",35.078,Denis Villeneuve,"Emily Blunt, Benicio del Toro, Josh Brolin, Victor Garber, Jon Bernthal, Jeffrey Donovan, Daniel Kaluuya, Maximiliano Hernández",https://www.filmaffinity.com/es/film484192.html
X-Men: Días del futuro pasado,2014,Estados Unidos,"6,9",46.436,Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Omar Sy, Nicholas Hoult, Ian McKellen, Patrick Stewart",https://www.filmaffinity.com/es/film736749.html
El patrón. Radiografía de un crimen,2014,Argentina,"6,9",2.513,Sebastián Schindel,"Joaquín Furriel, Mónica Lairana, Guillermo Pfening, Luis Ziembrowski, Victoria Raposo, Germán de Silva, Andrea Garrote",https://www.filmaffinity.com/es/film496998.html
Martin Eden,2019,Italia,"6,9",3.194,Pietro Marcello,"Luca Marinelli, Jessica Cressy, Carlo Cecchi, Denise Sardisco, Vincenzo Nemolato, Carmen Pommella, Autilia Ranieri, Marco Leonardi",https://www.filmaffinity.com/es/film656062.html
La noche de 12 años,2018,Uruguay,"6,9",6.063,Álvaro Brechner,"Antonio de la Torre, Chino Darín, Alfonso Tort, César Troncoso, Soledad Villamil, Sílvia Pérez Cruz, Mirella Pascual, Nidia Telles",https://www.filmaffinity.com/es/film880366.html
El oficial y el espía,2019,Francia,"6,9",7.942,Roman Polanski,"Jean Dujardin, Louis Garrel, Emmanuelle Seigner, Grégory Gadebois, Hervé Pierre, Wladimir Yordanoff, Didier Sandre, Melvil Poupaud",https://www.filmaffinity.com/es/film269157.html
Burning,2018,Corea del Sur,"6,9",8.216,Lee Chang-Dong,"Yoo Ah-in, Steven Yeun, Jeon Jong-seo, Gang Dong-won, Moon Sung-keun",https://www.filmaffinity.com/es/film813325.html
Detroit,2017,Estados Unidos,"6,9",11.144,Kathryn Bigelow,"John Boyega, Algee Smith, Will Poulter, Jack Reynor, Ben O'Toole, Hannah Murray, Anthony Mackie, Jacob Latimore",https://www.filmaffinity.com/es/film150729.html
Elvis,2022,Australia,"6,9",19.768,Baz Luhrmann,"Austin Butler, Tom Hanks, Olivia DeJonge, Richard Roxburgh, Helen Thomson, David Wenham, Kelvin Harrison Jr., Kodi Smit-McPhee",https://www.filmaffinity.com/es/film589077.html
Dolor y gloria,2019,España,"6,9",31.537,Pedro Almodóvar,"Antonio Banderas, Asier Etxeandia, Penélope Cruz, Leonardo Sbaraglia, Julieta Serrano, Nora Navas, Asier Flores, César Vicente",https://www.filmaffinity.com/es/film970971.html
"Lunana, un yak en la escuela",2019,Bután,"6,8",1.125,Pawo Choyning Dorji,"Sherab Dorji, Pem Zam, Gurung Ugyen, Tshering Dorji, Kelden Lhamo, Norbu Lhendup, Sonam Tashi Choden",https://www.filmaffinity.com/es/film109127.html
La historia de Marie Heurtin,2014,Francia,"6,8",1.367,Jean-Pierre Améris,"Isabelle Carré, Ariana Rivoire, Brigitte Catillon, Gilles Treton, Laure Duthilleul, Sonia Laroze, Noémie Churlet, Martine Gautier",https://www.filmaffinity.com/es/film969044.html
120 pulsaciones por minuto,2017,Francia,"6,8",4.170,Robin Campillo,"Nahuel Pérez Biscayart, Adèle Haenel, Yves Heck, Arnaud Valois, Félix Maritaud, Emmanuel Ménard, Antoine Reinartz, François Rabette",https://www.filmaffinity.com/es/film849738.html
Carmen y Lola,2018,España,"6,8",9.807,Arantxa Echevarria,"Zaira Romero, Rosy Rodriguez, Moreno Borja, Carolina Yuste, Rafaela León, Sofía El Bouanani, Antonio Heredia, Juan José Jiménez, Lucas Heredia",https://www.filmaffinity.com/es/film425269.html
La Venus de las pieles,2013,Francia,"6,8",10.052,Roman Polanski,"Mathieu Amalric, Emmanuelle Seigner",https://www.filmaffinity.com/es/film802649.html
Entre nosotras,2019,Francia,"6,8",1.211,Filippo Meneghetti,"Barbara Sukowa, Martine Chevallier, Léa Drucker, Jérôme Varanfrain, Hervé Sogne, Eugenie Anselin, Véronique Fauconnet, Aude-Laurence Clermont Biver",https://www.filmaffinity.com/es/film714536.html
La estación de las mujeres,2015,India,"6,8",1.332,Leena Yadav,"Adil Hussain, Radhika Apte, Surveen Chawla, Tannishtha Chatterjee, Sayani Gupta, Sumeet Vyas, Mahesh Balraj, Chandan Anand",https://www.filmaffinity.com/es/film765618.html
La ruleta de la fortuna y la fantasía,2021,Japón,"6,8",2.267,Ryûsuke Hamaguchi,"Kotone Furukawa, Ayumu Nakajima, Hyunri, Katsuki Mori, Shouma Kai, Kiyohiko Shibukawa, Fusako Urabe, Aoba Kawai",https://www.filmaffinity.com/es/film645043.html
"Dos días, una noche",2014,Bélgica,"6,8",12.103,"Jean-Pierre Dardenne, Luc Dardenne","Marion Cotillard, Fabrizio Rongione, Pili Groyne, Simon Caudry, Catherine Salée, Batiste Sornin, Alain Eloy, Myriem Akeddiou",https://www.filmaffinity.com/es/film261706.html
Paterson,2016,Estados Unidos,"6,8",15.031,Jim Jarmusch,"Adam Driver, Golshifteh Farahani, Sterling Jerins, Luis Da Silva Jr., Frank Harts, William Jackson Harper, Jorge Vega, Trevor Parham",https://www.filmaffinity.com/es/film779635.html
Güeros,2014,México,"6,8",1.804,Alonso Ruizpalacios,"Tenoch Huerta, Leonardo Ortizgris, Sebastián Aguirre, Ilse Salas, Sophie Alexander-Katz, Adrián Ladrón",https://www.filmaffinity.com/es/film304639.html
Doña Clara,2016,Brasil,"6,8",2.782,Kleber Mendonça Filho,"Sônia Braga, Irandhir Santos, Maeve Jinkings, Julia Bernat, Carla Ribas, Fernando Teixeira, Rubens Santos, Humberto Carrão",https://www.filmaffinity.com/es/film823987.html
La maternal,2022,España,"6,8",2.889,Pilar Palomero,"Carla Quílez, Àngela Cervantes, Jordan Dumes, Pepe Lorente, Olga Hueso, Rubén Martínez, Gal-la Sabaté, Neus Pàmies",https://www.filmaffinity.com/es/film970260.html
Upon Entry (La llegada),2022,España,"6,8",3.321,"Alejandro Rojas, Juan Sebastián Vasquez","Alberto Ammann, Bruna Cusí, Laura Gómez, Ben Temple, Gerard Oms, David Comrie",https://www.filmaffinity.com/es/film538977.html
Vida oculta,2019,Estados Unidos,"6,8",3.817,Terrence Malick,"August Diehl, Matthias Schoenaerts, Valerie Pachner, Michael Nyqvist, Jürgen Prochnow, Bruno Ganz, Martin Wuttke, Karl Markovics",https://www.filmaffinity.com/es/film534209.html
El cuento de las comadrejas,2019,Argentina,"6,8",4.897,Juan José Campanella,"Graciela Borges, Oscar Martínez, Luis Brandoni, Clara Lago, Marcos Mundstock, Nicolás Francella, Maru Zapata",https://www.filmaffinity.com/es/film377316.html
El capital humano,2013,Italia,"6,8",5.478,Paolo Virzì,"Valeria Bruni Tedeschi, Fabrizio Bentivoglio, Valeria Golino, Fabrizio Gifuni, Luigi Lo Cascio, Giovanni Anzaldo, Matilde Gioli, Guglielmo Pinelli",https://www.filmaffinity.com/es/film230530.html
Decision to Leave,2022,Corea del Sur,"6,8",6.352,Park Chan-wook,"Tang Wei, Park Hae-Il, Park Yong-woo, Yoo Seung-mok, Kim Shin-young, Lee Jung-hyun, Seo Hyun-woo, Park Jung-min",https://www.filmaffinity.com/es/film959058.html
Intemperie,2019,España,"6,8",7.373,Benito Zambrano,"Luis Tosar, Luis Callejo, Jaime López, Vicente Romero, Manolo Caro, Kandido Uranga, Mona Martínez, Miguel Flor De Lima",https://www.filmaffinity.com/es/film300469.html
The Guilty,2018,Dinamarca,"6,8",10.270,Gustav Möller,"Jakob Cedergren, Jessica Dinnage, Omar Shargawi, Johan Olsen, Maria Gersby, Jakob Ulrik Lohmann, Laura Bro, Katinka Evers-Jahnsen",https://www.filmaffinity.com/es/film313049.html
Lo que arde,2019,España,"6,8",10.506,Oliver Laxe,"Amador Arias, Benedicta Sánchez, Inazio Abrao, Elena Mar Fernández, David de Poso, Alvaro de Bazal, Damián Prado, Nando Vázquez, José Luis Santalices",https://www.filmaffinity.com/es/film825296.html
Vaiana,2016,Estados Unidos,"6,8",25.563,"John Musker, Ron Clements, Don Hall","Auli'i Cravalho, Dwayne Johnson",https://www.filmaffinity.com/es/film572473.html
El puente de los espías,2015,Estados Unidos,"6,8",39.484,Steven Spielberg,"Tom Hanks, Mark Rylance, Amy Ryan, Scott Shepherd, Sebastian Koch, Billy Magnussen, Alan Alda, Jesse Plemons",https://www.filmaffinity.com/es/film255419.html
C'mon C'mon. Siempre adelante,2021,Estados Unidos,"6,8",1.510,Mike Mills,"Joaquin Phoenix, Woody Norman, Gaby Hoffmann, Brandon Rush, Mary Passeri, Khadija Emma Neumann, Cooper Jack Rubin, Elaine Kagan",https://www.filmaffinity.com/es/film603356.html
7 prisioneros,2021,Brasil,"6,8",2.824,Alexandre Moratto,"Christian Malheiros, Rodrigo Santoro, Bruno Rocha, Vitor Julian, Lucas Oranmian, Cecília Homem de Mello, Dirce Thomaz",https://www.filmaffinity.com/es/film633882.html
Bar Bahar. Entre dos mundos,2016,Israel,"6,8",2.916,Maysaloun Hamoud,"Mouna Hawa, Shaden Kanboura, Sana Jammalieh, Mahmud Shalaby, Aiman Daw, Ahlam Canaan, Samar Qupty, Riyad Sliman",https://www.filmaffinity.com/es/film141446.html
El otro lado de la esperanza,2017,Finlandia,"6,8",4.707,Aki Kaurismäki,"Sakari Kuosmanen, Sherwan Haji, Kati Outinen, Tommi Korpela, Janne Hyytiäinen, Ilkka Koivula, Kaija Pakarinen, Nuppu Koivu",https://www.filmaffinity.com/es/film500089.html
Una pastelería en Tokio,2015,Japón,"6,8",8.178,Naomi Kawase,"Masatoshi Nagase, Kirin Kiki, Miyoko Asada, Etsuko Ichihara, Miki Mizuno, Kyara Uchida, Saki Takahashi",https://www.filmaffinity.com/es/film865928.html
La novia,2015,España,"6,8",14.642,Paula Ortiz,"Inma Cuesta, Asier Etxeandia, Álex García, Luisa Gavasa, Carlos Álvarez-Novoa, Ana Fernández, Consuelo Trujillo, Leticia Dolera",https://www.filmaffinity.com/es/film436269.html
Las leyes de la frontera,2021,España,"6,8",16.696,Daniel Monzón,"Marcos Ruiz, Begoña Vargas, Chechu Salgado, Carlos Oviedo, Daniel Ibañez, Guillermo Lasheras, Santiago Molero, Ainhoa Santamaría",https://www.filmaffinity.com/es/film534787.html
Begin Again,2013,Estados Unidos,"6,8",26.634,John Carney,"Keira Knightley, Mark Ruffalo, Hailee Steinfeld, Adam Levine, James Corden, CeeLo Green, Catherine Keener, Mos Def",https://www.filmaffinity.com/es/film832198.html
Expediente Warren: The Conjuring,2013,Estados Unidos,"6,8",50.782,James Wan,"Lili Taylor, Vera Farmiga, Patrick Wilson, Joey King, Ron Livingston, Mackenzie Foy, Shanley Caswell, Hayley McFarland",https://www.filmaffinity.com/es/film233180.html
Tangerine,2015,Estados Unidos,"6,8",3.800,Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan, Alla Tumanyan, James Ransone",https://www.filmaffinity.com/es/film896547.html
Los dos papas,2019,Reino Unido,"6,8",15.522,Fernando Meirelles,"Jonathan Pryce, Anthony Hopkins, Juan Minujín, Cristina Banegas, Sidney Cole, Luis Gnecco, Federico Torre, María Ucedo",https://www.filmaffinity.com/es/film691766.html
El vicio del poder,2018,Estados Unidos,"6,8",17.203,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Jesse Plemons, Eddie Marsan, Alison Pill, Stefania Owen",https://www.filmaffinity.com/es/film170500.html
El gran showman,2017,Estados Unidos,"6,8",19.680,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya, Diahann Carroll, Fredric Lehne, Keala Settle",https://www.filmaffinity.com/es/film739284.html
The Disaster Artist,2017,Estados Unidos,"6,8",21.385,James Franco,"James Franco, Dave Franco, Seth Rogen, Ari Graynor, Alison Brie, Josh Hutcherson, Zac Efron, Jacki Weaver",https://www.filmaffinity.com/es/film669752.html
Star Trek: En la oscuridad,2013,Estados Unidos,"6,8",34.633,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch, Karl Urban, Simon Pegg, John Cho, Anton Yelchin",https://www.filmaffinity.com/es/film928906.html
Las chicas están bien,2023,España,"6,8",1.207,Itsaso Arana,"Bárbara Lennie, Irene Escolar, Itsaso Arana, Itziar Manero, Helena Ezquerro, Gonzalo Herrero",https://www.filmaffinity.com/es/film413898.html
Lilting,2014,Reino Unido,"6,8",1.289,Hong Khaou,"Ben Whishaw, Cheng Pei-Pei, Andrew Leung, Peter Bowles, Naomi Christie, Morven Christie",https://www.filmaffinity.com/es/film380677.html
Ya no estoy aquí,2019,México,"6,8",3.346,Fernando Frías de la Parra,"Juan Daniel Garcia, Coral Puente, Angelina Chen, Jonathan Espinoza, Leo Zapata, Leonardo Garza, Yahir Alday, Fanny Tovar",https://www.filmaffinity.com/es/film581171.html
La mujer de la montaña,2018,Islandia,"6,8",3.550,Benedikt Erlingsson,"Halldóra Geirharðsdóttir, Jóhann Sigurðarson, Juan Camilo Roman Estrada, Jörundur Ragnarsson, Björn Thors, Haraldur Ari Stefánsson, Jón Gnarr, Vala Kristin Eiriksdottir",https://www.filmaffinity.com/es/film793593.html
Dogman,2018,Italia,"6,8",9.654,Matteo Garrone,"Marcello Fonte, Edoardo Pesce, Nunzia Schiano, Adamo Dionisi, Francesco Acquaroli, Alida Baldari Calabria, Aniello Arena, Gianluca Gobbi",https://www.filmaffinity.com/es/film412398.html
Sufragistas,2015,Reino Unido,"6,8",12.697,Sarah Gavron,"Carey Mulligan, Helena Bonham Carter, Anne-Marie Duff, Brendan Gleeson, Ben Whishaw, Meryl Streep, Romola Garai, Samuel West",https://www.filmaffinity.com/es/film904562.html
Twin Peaks: Las piezas desaparecidas,2014,Estados Unidos,"6,8",1.052,David Lynch,"Sheryl Lee, Kyle MacLachlan, Chris Isaak, Kiefer Sutherland, Gary Bullock, David Bowie, Pamela Gidley, Phoebe Augustine",https://www.filmaffinity.com/es/film509283.html
Un nuevo mundo,2021,Francia,"6,8",1.065,Stéphane Brizé,"Vincent Lindon, Sandrine Kiberlain, Anthony Bajon, Marie Drucker, Olivier Lemaire, Guillaume Draux, Christophe Rossignon, Sarah Laurent",https://www.filmaffinity.com/es/film962586.html
La dictadura perfecta,2014,México,"6,8",1.782,Luis Estrada,"Damián Alcázar, Alfonso Herrera, Osvaldo Benavides, Joaquín Cosío, Tony Dalton, Silvia Navarro, Sergio Mayer, Saúl Lizaso",https://www.filmaffinity.com/es/film854174.html
Paddington 2,2017,Reino Unido,"6,8",3.221,Paul King,"Hugh Grant, Hugh Bonneville, Sally Hawkins, Brendan Gleeson, Jim Broadbent, Peter Capaldi, Julie Walters, Samuel Joslin",https://www.filmaffinity.com/es/film962122.html
Cuestión de justicia,2019,Estados Unidos,"6,8",5.707,Destin Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson, O'Shea Jackson Jr., Tim Blake Nelson, Rob Morgan, Lindsay Ayliffe, Ron Clinton Smith",https://www.filmaffinity.com/es/film508846.html
El sol del futuro,2023,Italia,"6,8",1.411,Nanni Moretti,"Nanni Moretti, Margherita Buy, Mathieu Amalric, Silvio Orlando, Barbora Bobulova, Jerzy Stuhr, Benjamin Stender, Elena Lietti",https://www.filmaffinity.com/es/film620722.html
"Las cosas que decimos, las cosas que hacemos",2020,Francia,"6,8",2.049,Emmanuel Mouret,"Camélia Jordana, Niels Schneider, Vincent Macaigne, Émilie Dequenne, Guillaume Gouix, Julia Piaton, Jean-Baptiste Anoumon, Fanny Gatibelza",https://www.filmaffinity.com/es/film275302.html
Belle,2021,Japón,"6,8",2.369,Mamoru Hosoda,,https://www.filmaffinity.com/es/film549838.html
Mujeres del siglo XX,2016,Estados Unidos,"6,8",4.366,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup, Lucas Jade Zumann, John Billingsley, Matty Cardarople, Thea Gill",https://www.filmaffinity.com/es/film199234.html
TÁR,2022,Estados Unidos,"6,8",7.300,Todd Field,"Cate Blanchett, Nina Hoss, Noémie Merlant, Mark Strong, Sam Douglas, Sydney Lemmon, Murali Perumal, Diana Birenyte",https://www.filmaffinity.com/es/film206354.html
Diecisiete,2019,España,"6,8",12.429,Daniel Sánchez Arévalo,"Biel Montoro, Nacho Sánchez, Lola Cordón, Iñigo Aranburu, Itsaso Arana, Kandido Uranga, Carolina Clemente, Jorge Cabrera",https://www.filmaffinity.com/es/film552688.html
John Wick 4,2023,Estados Unidos,"6,8",12.511,Chad Stahelski,"Keanu Reeves, Donnie Yen, Bill Skarsgård, Ian McShane, Shamier Anderson, Rina Sawayama, Laurence Fishburne, Hiroyuki Sanada",https://www.filmaffinity.com/es/film219736.html
Alcarràs,2022,España,"6,8",12.928,Carla Simón,"Jordi Pujol Dolcet, Anna Otín, Xenia Roset, Albert Bosch, Ainet Jounou, Josep Abad, Montse Oró, Carles Cabós, Berta Pipó",https://www.filmaffinity.com/es/film457848.html
Onward,2020,Estados Unidos,"6,8",15.452,Dan Scanlon,"Chris Pratt, Tom Holland",https://www.filmaffinity.com/es/film648804.html
Lo que hacemos en las sombras,2014,Nueva Zelanda,"6,8",19.433,"Taika Waititi, Jemaine Clement","Jemaine Clement, Taika Waititi, Jonathan Brugh, Cori Gonzales-Macuer, Stu Rutherford, Ben Fransham, Rhys Darby, Jackie van Beek",https://www.filmaffinity.com/es/film493854.html
Mientras dure la guerra,2019,España,"6,8",26.447,Alejandro Amenábar,"Karra Elejalde, Eduard Fernández, Santi Prego, Patricia López Arnaiz, Inma Cuevas, Nathalie Poza, Luis Bermejo, Mireia Rey",https://www.filmaffinity.com/es/film557902.html
Kingsman: Servicio secreto,2014,Reino Unido,"6,8",40.932,Matthew Vaughn,"Taron Egerton, Colin Firth, Samuel L. Jackson, Mark Strong, Michael Caine, Sofia Boutella, Sophie Cookson, Geoff Bell",https://www.filmaffinity.com/es/film376816.html
Deadpool,2016,Estados Unidos,"6,8",54.173,Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein, Gina Carano, T.J. Miller, Rachel Sheen, Brianna Hildebrand, Paul Lazenby",https://www.filmaffinity.com/es/film244059.html
Moffie,2019,Sudáfrica,"6,8",1.022,Oliver Hermanus,"Kai Luke Brummer, Ryan de Villiers, Hilton Pelser, Shaun Chad Smit, Stefan Vermaak, Matthew Vey, Michael Kirch, Barbara Marie Immelman",https://www.filmaffinity.com/es/film430133.html
El repostero de Berlín,2017,Israel,"6,8",2.586,Ofir Raul Graizer,"Tim Kalkhof, Sarah Adler, Zohar Shtrauss, Roy Miller, Stephanie Stremler, Tagel Eliyahu, David Koren, Sagi Shemesh",https://www.filmaffinity.com/es/film141114.html
Apolo 10½: Una infancia espacial,2022,Estados Unidos,"6,8",2.753,Richard Linklater,"Zachary Levi, Jack Black, Glen Powell, Josh Wiggins, Samuel Davis, Lee Eddy, Bill Wise",https://www.filmaffinity.com/es/film355992.html
El amor en su lugar,2021,España,"6,8",4.205,Rodrigo Cortés,"Clara Rugaard, Ferdia Walsh-Peelo, Magnus Krepper, Freya Parks, Jack Roth, Henry Goodman, Dalit Streett Tejeda, Anastasia Hille",https://www.filmaffinity.com/es/film658785.html
Petite maman,2021,Francia,"6,8",4.673,Céline Sciamma,"Joséphine Sanz, Gabrielle Sanz, Margot Abascal, Stephane Varupenne, Nina Meurisse, Florès Cardo, Josée Schuller, Guylène Péan",https://www.filmaffinity.com/es/film932245.html
Solo las bestias,2019,Francia,"6,8",4.786,Dóminik Moll,"Denis Ménochet, Laure Calamy, Damien Bonnard, Nadia Tereszkiewicz, Bastien Bouillon, Valeria Bruni Tedeschi, Jenny Bellay, Fred Ulysse",https://www.filmaffinity.com/es/film329656.html
La oveja Shaun: La película,2015,Reino Unido,"6,8",5.189,"Richard Starzak, Mark Burton",,https://www.filmaffinity.com/es/film265774.html
West Side Story,2021,Estados Unidos,"6,8",10.498,Steven Spielberg,"Rachel Zegler, Ansel Elgort, David Alvarez, Ariana DeBose, Rita Moreno, Mike Faist, Josh Andrés Rivera, Corey Stoll",https://www.filmaffinity.com/es/film776481.html
Siempre Alice,2014,Estados Unidos,"6,8",13.264,"Richard Glatzer, Wash Westmoreland","Julianne Moore, Alec Baldwin, Kristen Stewart, Kate Bosworth, Hunter Parrish, Seth Gilliam, Erin Darke, Shane McRae",https://www.filmaffinity.com/es/film249518.html
Verano 1993,2017,España,"6,8",17.530,Carla Simón,"Laia Artigas, Bruna Cusí, David Verdaguer, María Paula Robles, Paula Blanco, Etna Campillo, Jordi Figueras, Dolores Fortis",https://www.filmaffinity.com/es/film382702.html
Tren a Busan,2016,Corea del Sur,"6,8",28.035,Yeon Sang-ho,"Gong Yoo, Ma Dong-seok, Ahn So-hee, Kim Soo-an, Jung Yu-mi, Kim Eui-sung, Choi Woo-sik, Shim Eun-kyung",https://www.filmaffinity.com/es/film312662.html
La gran apuesta,2015,Estados Unidos,"6,8",34.955,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, John Magaro, Finn Wittrock, Brad Pitt, Hamish Linklater, Rafe Spall",https://www.filmaffinity.com/es/film774066.html
Noche de fuego,2021,México,"6,8",1.501,Tatiana Huezo,"Ana Cristina Ordóñez González, Giselle Barrera Sánchez, Mayra Batalla, Norma Pablo, Guillermo Villegas, Olivia Lagunas, Eileen Yañez, Alejandra Camacho",https://www.filmaffinity.com/es/film387562.html
